condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
clean,default_0.5,13841,0.5,0.9608961983526874,0.9755425310486029,0.8440864099414782,0.866890564888174,0.9645587213342599,0.7848015379396133,0.9489795918367347,0.8654445691482728,4743,255,1903,6940
clean,calibrated,13841,0.20900000000000002,0.9608961983526874,0.9755425310486029,0.8773932519326638,0.8852572126894408,0.946067415730337,0.8569489992084134,0.9135654261704682,0.8993057615854744,4566,432,1265,7578
blur_2.0,default_0.5,13841,0.5,0.7833861464974998,0.8648475151100757,0.7154107362184813,0.7008552714312006,0.7912805892135899,0.7532511591088997,0.6484593837535014,0.771797694223973,3241,1757,2182,6661
blur_2.0,calibrated,13841,0.20900000000000002,0.7833861464974998,0.8648475151100757,0.7244418755870241,0.6797797259806331,0.755616549761106,0.8405518489200497,0.5190076030412165,0.7958244111349038,2594,2404,1410,7433
