view,auc_delta_vs_decoded,bootstrap_delta_ci_low,bootstrap_delta_ci_high,bootstrap_repeats
jpeg_q75,0.015836574074074128,0.011477695051287106,0.020091669521002848,300
hash_random_reencode,-0.009257638888888864,-0.013862964128604285,-0.003379631373504135,300
neutralized_random_reencode,-0.01618425925925926,-0.022150403708649846,-0.009704902538270657,300
