condition,threshold_name,count,threshold,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,tn,fp,fn,tp
clean,default_0.5,64,0.5,0.9521484375,0.9581683109109045,0.84375,0.84375,0.9583333333333334,0.71875,0.96875,0.8214285714285714,31,1,9,23
clean,calibrated,64,0.315,0.9521484375,0.9581683109109045,0.84375,0.84375,0.9230769230769231,0.75,0.9375,0.8275862068965517,30,2,8,24
blur_2.0,default_0.5,64,0.5,0.71533203125,0.7314678380793055,0.640625,0.640625,0.6451612903225806,0.625,0.65625,0.634920634920635,21,11,12,20
blur_2.0,calibrated,64,0.315,0.71533203125,0.7314678380793055,0.65625,0.65625,0.6388888888888888,0.71875,0.59375,0.676470588235294,19,13,9,23
