split,manifest,rows,cramers_v_extension_vs_label,jpeg_share_real,jpeg_share_fake,pil_probe_rows,sampled_cramers_v_pil_format_vs_label,sampled_pil_jpeg_share_real,sampled_pil_jpeg_share_fake
train,Dataset/manifests/training_multisource.csv,482820,1.0,1.0,0.0,500,0.7034013926370655,1.0,0.29
validation,Dataset/manifests/validation_multisource.csv,16000,1.0,1.0,0.0,500,0.6806444271116836,1.0,0.31666666666666665
