view,auc_delta_vs_decoded,bootstrap_delta_ci_low,bootstrap_delta_ci_high,bootstrap_repeats
jpeg_q75,0.016261342592592598,0.011906185295080024,0.020620475095931703,300
hash_random_reencode,-0.008830324074074247,-0.013339898569116942,-0.003057289619497431,300
neutralized_random_reencode,-0.015588425925925908,-0.021277535138831603,-0.00946974595792759,300
